Frame,Module,Location,Address,Path,,,
0,ntoskrnl.exe,SeOpenObjectAuditAlarmWithTransaction + 0x4ad8,0xfffff801148d03c8,C:\Windows\system32\ntoskrnl.exe,,,
1,ntoskrnl.exe,SeReleaseSubjectContext + 0x4f4,0xfffff801148db2b4,C:\Windows\system32\ntoskrnl.exe,,,
2,ntoskrnl.exe,setjmpex + 0x7cc5,0xfffff801146058b5,C:\Windows\system32\ntoskrnl.exe,,,
3,ntdll.dll,NtQueryKey + 0x14,0x7ffbab50c084,C:\Windows\SYSTEM32\ntdll.dll,,,
4,AppVIsvSubsystems64.dll,RequestUnhookedFunctionList + 0x109a2e,0x7ffb9729c3be,C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll,,,
5,AppVIsvSubsystems64.dll,RequestUnhookedFunctionList + 0xfa82f,0x7ffb9728d1bf,C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll,,,
6,AppVIsvSubsystems64.dll,RequestUnhookedFunctionList + 0xfa23f,0x7ffb9728cbcf,C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll,,,
7,AppVIsvSubsystems64.dll,RequestUnhookedFunctionList + 0x1025b3,0x7ffb97294f43,C:\Program Files\Microsoft Office\root\Office16\AppVIsvSubsystems64.dll,,,
8,KERNELBASE.dll,MapPredefinedHandleInternal + 0xaa4,0x7ffba900d4f4,C:\Windows\System32\KERNELBASE.dll,,,
9,KERNELBASE.dll,RegOpenKeyExInternalA + 0x12e,0x7ffba900e71e,C:\Windows\System32\KERNELBASE.dll,,,
10,KERNELBASE.dll,RegOpenKeyExA + 0x19,0x7ffba900e809,C:\Windows\System32\KERNELBASE.dll,,,
11,VBE7.DLL,VBE7.DLL + 0x15472,0x7ffb413b5472,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
12,VBE7.DLL,VBE7.DLL + 0x146b0,0x7ffb413b46b0,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
13,VBE7.DLL,VBE7.DLL + 0x13b99,0x7ffb413b3b99,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
14,VBE7.DLL,VBE7.DLL + 0x1030d0,0x7ffb414a30d0,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
15,VBE7.DLL,VBE7.DLL + 0xfb840,0x7ffb4149b840,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
16,VBE7.DLL,VBE7.DLL + 0xfb672,0x7ffb4149b672,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
17,VBE7.DLL,VBE7.DLL + 0x19215d,0x7ffb4153215d,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
18,VBE7.DLL,VBE7.DLL + 0x191332,0x7ffb41531332,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
19,VBE7.DLL,VBE7.DLL + 0x225e73,0x7ffb415c5e73,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
20,VBE7.DLL,VBE7.DLL + 0x23ec80,0x7ffb415dec80,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
21,VBE7.DLL,VBE7.DLL + 0x23dea8,0x7ffb415ddea8,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
22,VBE7.DLL,VBE7.DLL + 0x2390c6,0x7ffb415d90c6,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
23,VBE7.DLL,VBE7.DLL + 0x1f6055,0x7ffb41596055,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
24,VBE7.DLL,VBE7.DLL + 0xf5c58,0x7ffb41495c58,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
25,VBE7.DLL,VBE7.DLL + 0xf555c,0x7ffb4149555c,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,,,
26,VBE7.DLL,VBE7.DLL + 0xaefca,0x7ffb4144efca,C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL,ImmediateWindow Call?,,
27,USER32.dll,CallWindowProcW + 0x3f8,0x7ffbaab2e858,C:\Windows\System32\USER32.dll,,,
28,USER32.dll,DispatchMessageW + 0x259,0x7ffbaab2e299,C:\Windows\System32\USER32.dll,,,
29,EXCEL.EXE,Ordinal43 + 0x5f2bc,0x7ff6138bf2bc,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,,,
30,EXCEL.EXE,Ordinal43 + 0xa604e,0x7ff61390604e,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,,,
31,EXCEL.EXE,Ordinal43 + 0x5b735,0x7ff6138bb735,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,,,
32,EXCEL.EXE,Ordinal43 + 0xdff2,0x7ff61386dff2,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,,,
33,KERNEL32.DLL,BaseThreadInitThunk + 0x14,0x7ffba9576fd4,C:\Windows\System32\KERNEL32.DLL,,,
34,ntdll.dll,RtlUserThreadStart + 0x21,0x7ffbab4bcec1,C:\Windows\SYSTEM32\ntdll.dll,,,
